Navn;Organisation;Type;Sprog;Filtype;Periode (Start);Periode (Slut);Tags;Emne;url;Licens;Dokumentation
Coral tekst-til-tale datasæt;Alexandra Instituttet;NA;dan;parquet;NA;NA;coral:lyddata:taledata:tekst-til-tale;Sprog og retskrivning:Uddannelse, kultur og sport;https://huggingface.co/datasets/alexandrainst/coral-tts;NA;NA
Georg Brandes_ Hovedstrømninger i det 19. Aarhundredes Litteratur (1872 - 1890);Det Danske Sprog- og Litteraturselskab;Korpora;dan;html;1872;1890;tekst;Sprog og retskrivning:Uddannelse, kultur og sport;https://repository.clarin.dk/repository/xmlui/handle/20.500.12115/37?show=full;https://creativecommons.org/licenses/by-nc-sa/4.0/;https://dsl.dk/projekter/georg-brandes-digitale-hovedstromninger
PAROLE-DK og eParole;Det Danske Sprog- og Litteraturselskab;Korpora;dan:eng:fin:vls:fre:gre:dut:gle:ita:cat:nor:por:swe:ger;xml, txt;1998;2015;tekst;Sprog og retskrivning:Uddannelse, kultur og sport;https://korpus.dsl.dk/resources/details/parole.html;Public Domain Mark 1.0;https://korpus.dsl.dk/clarin/corpus-doc/parole-doc/paroledoc_en.pdf
DK-CLARIN Referencekorpus med dansk almensprog;Det Danske Sprog- og Litteraturselskab;Korpora;dan;xml;NA;NA;tekst;Sprog og retskrivning:Uddannelse, kultur og sport;https://repository.clarin.dk/repository/xmlui/handle/20.500.12115/36#;https://kitwiki.csc.fi/twiki/bin/view/FinCLARIN/ClarinEulaAca?ID=1&AFFIL=EDU&BY=1&NC=1&NORED=1;https://repository.clarin.dk/repository/xmlui/handle/20.500.12115/36
Fuldformliste fra Ordbog over det danske sprog;Det Danske Sprog- og Litteraturselskab;Korpora;dan;csv;NA;NA;dansk:fuldformliste:ODS:ordbog over det danske sprog:bøjningsformer;Sprog og retskrivning:Uddannelse, kultur og sport;https://korpus.dsl.dk/resources/details/ods-fullforms.html;https://korpus.dsl.dk/resources/licences/dsl-open.html;https://korpus.dsl.dk/resources/details/ods-fullforms.html
KorpusDK;Det Danske Sprog- og Litteraturselskab;Korpora;dan;txt;NA;NA;tekst;Sprog og retskrivning:Uddannelse, kultur og sport;https://korpus.dsl.dk/resources/details/korpusdk.html;https://korpus.dsl.dk/resources/licences/dsl-restricted.html;https://korpus.dsl.dk/resources/details/korpusdk.html
Public ADL text sources;Det Kongelige Bibliotek;Korpora;dan;xml;NA;NA;tekst;NA;https://rawgit.com/Det-Kongelige-Bibliotek/access-digital-objects/master/form-demos/adl-form.html;https://opendefinition.org/licenses/gfdl;https://tekster.kb.dk/adl
Referater fra Folketinget;Folketinget;Korpora;dan;xml, html;NA;NA;FT:dansk:folketinget:sprogmodeller:tekst:tekstdata;Uddannelse, kultur og sport:Sprog og retskrivning:Regeringen og den offentlige sektor;https://www.ft.dk/da/dokumenter/dokumentlister/referater?pageSize=200&numberOfDays=-93;https://www.ft.dk/da/dokumenter/aabne_data#290AB29F56C54AC88474BC53393A3AE0;NA
Lyd fra Folketinget;Folketinget;Korpora;dan;mp3;NA;NA;tale;NA;https://www.ft.dk/da/aktuelt/lyd-fra-folketinget;https://www.ft.dk/da/aktuelt/tv-fra-folketinget/deling-og-rettigheder;NA
TV fra Folketinget;Folketinget;Korpora;dan;mp4, html;NA;NA;ASR:dansk:sprogmodel:tale:talegenkendelse:taleteknologi;Uddannelse, kultur og sport:Sprog og retskrivning:Regeringen og den offentlige sektor;https://www.ft.dk/aktuelt/webtv;https://www.ft.dk/da/aktuelt/tv-fra-folketinget/deling-og-rettigheder;NA
SMK Open;Statens Museum for Kunst;NA;dan:eng;json, html;NA;NA;SMK:billeder:kunst;NA;https://open.smk.dk/;https://creativecommons.org/publicdomain/zero/1.0/;https://www.smk.dk/article/smk-api/
Context-Aware-Splits;Øvrige;NA;dan;parquet;NA;NA;RAG:retrieval:augmented:danskGPT:generation;Sprog og retskrivning:Uddannelse, kultur og sport;https://huggingface.co/datasets/mhenrichsen/context-aware-splits;http://www.apache.org/licenses/LICENSE-2.0;https://huggingface.co/datasets/mhenrichsen/context-aware-splits/blob/main/README.md
Retsinformation;Civilstyrelsen;NA;dan;xml, html, pdf;NA;NA;jura:lovgivning:tekst;Sprog og retskrivning:Uddannelse, kultur og sport:Retfærdighed, retssystem og offetlig sikkerhed:Regeringen og den offentlige sektor;https://www.retsinformation.dk/;NA;https://www.retsinformation.dk/offentlig/vejledning/Retsinformation%20REST%20API%20vejledning%20v1.pdf
Regnskabsdata;Erhvervsstyrelsen;Korpora;NA;pdf, xml;NA;NA;tekst;Sprog og retskrivning:Uddannelse, kultur og sport;https://data.virk.dk/datakatalog/erhvervsstyrelsen/system-til-system-adgang-til-regnskabsdata;NA;NA
Folketingets Åbne Data;Folketinget;Korpora;NA;json, xml;NA;NA;tekst;NA;https://oda.ft.dk/;https://www.ft.dk/da/dokumenter/aabne_data#290AB29F56C54AC88474BC53393A3AE0;http://www.odata.org/
Named Entity Recognition dataset til Danske juridiske tekster;Øvrige;NA;dan;conll;NA;NA;Named Entity Recognition:danske juridiske tekster:named entities;NA;https://github.com/karl-emilbp/legal-ner;https://opensource.org/licenses/MIT;https://github.com/karl-emilbp/legal-ner
Danske Taler;Danske Taler;Korpora;NA;html;NA;NA;tekst;Sprog og retskrivning:Uddannelse, kultur og sport;http://www.dansketaler.dk/;NA;https://dansketaler.dk/wp-json/wp/v2/tale
Alvenir Wav2vec2;Alvenir;NA;dan;bin;NA;NA;NLP:sprogmodel:lyd:model:speech:tale:talegenkendelse;Sprog og retskrivning:Uddannelse, kultur og sport;https://huggingface.co/Alvenir/wav2vec2-base-da;Apache 2.0 licens;NA
Nota lyd- og tekstdata;Digitaliseringsstyrelsen;NA;dan;wav, txt;NA;NA;ASR:data:lyd:lyddata:nota:oplæsnings:tale:taledata;Sprog og retskrivning:Uddannelse, kultur og sport;https://sprogteknologi.dk/dataset/notalyd-ogtekstdata;https://creativecommons.org/publicdomain/zero/1.0/;https://sprogtek-ressources.digst.govcloud.dk/nota/Readme.txt
Alvenir ASR evalueringsdata;Alvenir;NA;dan;wav;NA;NA;ASR:dansk:tale:talegenkendelse:evaluering:lyd:tale:taledata;Sprog og retskrivning:Uddannelse, kultur og sport;https://huggingface.co/datasets/Alvenir/alvenir_asr_da_eval;https://creativecommons.org/licenses/by/4.0/;https://huggingface.co/datasets/Alvenir/alvenir_asr_da_eval#dataset-creation
The Danish Parliament Corpus 2009 - 2017, v2, w. subject annotation;Københavns Universitet;NA;dan;txt;NA;NA;parliament recods:politics;Uddannelse, kultur og sport:Sprog og retskrivning:Regeringen og den offentlige sektor;https://repository.clarin.dk/repository/xmlui/handle/20.500.12115/44;https://creativecommons.org/licenses/by/4.0/;https://repository.clarin.dk/repository/xmlui/handle/20.500.12115/44
The Norwegian Colossal Corpus;Nationalbiblioteket i Norge;NA;NA;json;NA;NA;Korpora:NB:colossal:corpus:norsk:scandinavien:text;Sprog og retskrivning:Uddannelse, kultur og sport;NA;http://opendefinition.org/okd/;https://github.com/NbAiLab/notram/blob/master/guides/corpus_description.md
DGT-Translation Memory;EU;NA;hrv:lav:slv:slo:ita:est:por:swe:dut:dan:spa:bul:eng:rum:gle:cze:mlt:ger:hun:fin:lit:pol:fre;tmx;2004;2018;corpus:language-application:language-technology:tmx:translation-memory;Regeringen og den offentlige sektor:Uddannelse, kultur og sport;https://joint-research-centre.ec.europa.eu/language-technology-resources/dgt-translation-memory_en;https://commission.europa.eu/content/european-union-public-licence_en;http://www.lrec-conf.org/proceedings/lrec2012/pdf/814_Paper.pdf
CopCo: The Copenhagen Corpus of Eye-Tracking Recordings from Natural Reading;Københavns Universitet;NA;dan;csv;NA;NA;CLARIN:danish:eye-tracking:læseforskning:multicodal corpora:psycholingustics:reading:sprogforståelse;NA;https://osf.io/ud8s5/;https://creativecommons.org/licenses/by/4.0/;https://aclanthology.org/2022.lrec-1.182/
NST Danish Dictation (22 kHz);Nationalbiblioteket i Norge;Korpora;NA;txt, pcm, pdf;1995;1999;tale:diktering:fonetik;Sprog og retskrivning:Uddannelse, kultur og sport;https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-20/;https://creativecommons.org/publicdomain/zero/1.0/;https://www.nb.no/sbfil/dok/nst_taledat_dk.pdf
NST Danish ASR Database (16 kHz);Nationalbiblioteket i Norge;Korpora;NA;pcm,  pdf;2003;2003;tale;Sprog og retskrivning:Uddannelse, kultur og sport;https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-19/;https://creativecommons.org/publicdomain/zero/1.0/;https://www.nb.no/sbfil/dok/nst_taledat_dk.pdf
NST Danish Speech Synthesis (44kHz);Nationalbiblioteket i Norge;Korpora;NA;pcm, txt;1995;1999;tale:fonetik:talesyntese;Sprog og retskrivning:Uddannelse, kultur og sport;https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-21/;https://creativecommons.org/publicdomain/zero/1.0/;https://www.nb.no/sbfil/dok/nst_taledat_dk.pdf
WikiMatrix;Facebook Research;Korpora;NA;tsv;NA;NA;tekst;Sprog og retskrivning:Uddannelse, kultur og sport;https://github.com/facebookresearch/LASER/tree/master/tasks/WikiMatrix;NA;NA
DA-EN Danish Ministry of Higher Education and Science ;EU;NA;dan:eng;pdf;NA;NA;NA;Uddannelse, kultur og sport;https://elrc-share.eu/repository/browse/da-en-danish-ministry-of-higher-education-and-science/d18d4378193811e7bfe700155d0205021a5b2b997964444ca98e89ed20763ebd/;https://elrc-share.eu/static/metashare/licences/CC-BY-NC-4.0.pdf;NA
DA-EN Danish Ministry of Higher Education and Science 3 (Processed);EU;NA;dan:eng;tmx;NA;NA;NA;Uddannelse, kultur og sport:Videnskab og teknologi;https://elrc-share.eu/repository/browse/da-en-danish-ministry-of-higher-education-and-science-3-processed/34999b5c6d1b11e7b7d400155d026706d8c5c7566d9844ecb8cab52e08e275cf/;https://elrc-share.eu/static/metashare/licences/CC-BY-NC-4.0.pdf;NA
SemDax;Center for Sprogteknologi;Korpora;eng;xml;NA;NA;tekst:semantics:supersenses:word sense annotations;Sprog og retskrivning:Uddannelse, kultur og sport;https://repository.clarin.dk/repository/xmlui/handle/20.500.12115/38;https://kitwiki.csc.fi/twiki/bin/view/FinCLARIN/ClarinEulaAca?ID=1&AFFIL=EDU&BY=1&NC=1&NORED=1;https://github.com/coastalcph/semdax
NST N-gram - Danish News Text;Nationalbiblioteket i Norge;Korpora;NA;txt;1995;1999;tekst:n-gram:nyhedstekst:statestik;Sprog og retskrivning:Uddannelse, kultur og sport;https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-28/;https://creativecommons.org/publicdomain/zero/1.0/;https://www.nb.no/sbfil/dok/ngram_dan.pdf
DanPASS-korpus (Danish Phonetically Annotated Spntaneous Speech);Københavns Universitet;Korpora;NA;bin, txt;NA;NA;tale;Sprog og retskrivning:Uddannelse, kultur og sport;https://danpass.hum.ku.dk/;NA;https://doi.org/10.1016/j.specom.2008.11.002
The language and genre of threats;Københavns Universitet;Korpora;NA;xml;NA;NA;tekst;Sprog og retskrivning:Uddannelse, kultur og sport;http://hdl.handle.net/20.500.12115/40;https://kitwiki.csc.fi/twiki/bin/view/FinCLARIN/ClarinEulaAca?ID=1&AFFIL=EDU&BY=1&NC=1&NORED=1;https://nors.ku.dk/forskning/projekter/truslers-sprog-og-genre/
EUIPO - Trade mark Guidelines (October 2017) (English-Danish) (Processed);EU;NA;dan:eng;tmx;NA;NA;NA;Regeringen og den offentlige sektor;https://elrc-share.eu/repository/browse/euipo-trade-mark-guidelines-october-2017-english-danish-processed/3dffc5e2524b11e9a7e100155d026706d7d40705be2a43d5bcfb79dc7eaa4140/;https://www.elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf;NA
Common Voice;Mozilla;Korpora;NA;mp3;NA;NA;common voice:crowdsourced:mozilla:tale:talegenkendelse:tekst;Sprog og retskrivning:Uddannelse, kultur og sport;https://commonvoice.mozilla.org/da/datasets;https://creativecommons.org/publicdomain/zero/1.0/;NA
DCEP: Digital korpus fra Europa-Parlamentet;EU;Korpora;NA;xml, sgml, txt;NA;NA;paralleltekst:tekst:dansk:korpus;Sprog og retskrivning:Uddannelse, kultur og sport;https://wt-public.emm4u.eu/Resources/DCEP-2013/DCEP-Download-Page.html;http://opendefinition.org/okd/;https://ec.europa.eu/jrc/en/language-technologies/dcep
Bilingual English-Danish parallel corpus from The Danish Medicines Agency;EU;NA;dan:eng;tmx;NA;NA;dansk-engelsk:ELRC:engelsk-dansk:korpora:oversættelse:sundhed;NA;https://elrc-share.eu/repository/browse/bilingual-english-danish-parallel-corpus-from-the-danish-medicines-agency-website/cd88fc90cd5f11e8b7d400155d02670688ec0a248988434ebd5da3694de0ac8e/;https://ec.europa.eu/digital-single-market/en/european-legislation-reuse-public-sector-information;NA
Bilingual English-Danish parallel corpus from Denmark National Space Institute website;EU;NA;dan:eng;tmx;NA;NA;dansk-engelsk:ELRC:engelsk-dansk:korpora:oversættelse:rumforskning:science:videnskab:kultur;Sprog og retskrivning:Uddannelse, kultur og sport:Videnskab og teknologi;https://elrc-share.eu/repository/browse/bilingual-english-danish-parallel-corpus-from-denmark-national-space-institute-website/5fde41d0d13a11e8b7d400155d0267061182ebe8154c4bc3bf637048633dd67b/;https://ec.europa.eu/digital-single-market/en/european-legislation-reuse-public-sector-information;NA
DK-CLARIN Rapid Aligned Corpus 1993-2011 (da-en,da-de);Center for Sprogteknologi;Korpora;NA;txt, tmx;1993;2011;EU:press releases from the european commission:tekst:politics;Sprog og retskrivning:Uddannelse, kultur og sport;http://hdl.handle.net/20.500.12115/30;https://kitwiki.csc.fi/twiki/bin/view/FinCLARIN/ClarinEulaAca?ID=1&AFFIL=EDU&BY=1&NC=1&NORED=1;https://info.clarin.dk/
DUDS Jens Bille's Ballad Book, v. 1.1;Københavns Universitet;Korpora;NA;xml;NA;NA;tekst;Sprog og retskrivning:Uddannelse, kultur og sport;https://repository.clarin.dk/repository/xmlui/handle/20.500.12115/41;https://kitwiki.csc.fi/twiki/bin/view/FinCLARIN/ClarinEulaAca?ID=1&AFFIL=EDU&BY=1&NC=1&NORED=1;https://duds.nordisk.ku.dk/
Johannes V Jensen Korpus;Aarhus Universitet;Korpora;dan;html, pdf;NA;NA;tekst;Sprog og retskrivning:Uddannelse, kultur og sport;http://johannesvjensen.dk/jensenonline/liste-over-vaerker/;https://creativecommons.org/licenses/by-sa/4.0/;https://repository.clarin.dk/repository/xmlui/bitstream/handle/20.500.12115/20/text-header.pdf
Grundtvigs værker;Aarhus Universitet;Korpora;NA;xml;NA;NA;tekst;Sprog og retskrivning:Uddannelse, kultur og sport;http://hdl.handle.net/20.500.12115/31;https://creativecommons.org/licenses/by-nc/4.0/;http://www.grundtvigsværker.dk/
The DK-CLARIN JRC-Acquis Parallel Corpus (da, en);Center for Sprogteknologi;Korpora;eng;xml;1958;2003;EU:paralleltekst:legal;Sprog og retskrivning:Uddannelse, kultur og sport;https://repository.clarin.dk/repository/xmlui/handle/20.500.12115/29?show=full;https://creativecommons.org/licenses/by/4.0/;https://info.clarin.dk/
